,title,rating,review_count,price,Издательство,ISBN,Переплет,Количество страниц,Бумага,Язык,Дата выхода,Высота издания,Ширина издания,Код товара,Unnamed: 14,Тираж,Иллюстрированная,Формат книги,Толщина издания,Производитель,Артикул,Количество листов,Формат,Крепление,Обложка,Отделка обложки,Плотность,Страна-производитель,Размер (Д×Ш×В),Упаковка,Год,Учебный период,Предметы,Бренд,Серия,Цвет,Материал,Типы материалов,Пол,Дополнительная информация,Количество в наборе,Возраст,Размер упаковки (Д×Ш×В),Торговая марка,Вид,Особенности,Продолжительность игры,Количество игроков,Комплектация,Вид лампы,Количество режимов,Световая температура,Световой поток,Мощность,Патрон,Тип питания,Разъёмы,Длина кабеля,Гарантия,Unnamed: 17,Цоколь
598,Маленький принц,5.0,81.0,1170,Эксмо,978-5-699-90130-2,твердый переплет,112.0,офсетная,русский,2016.0,220 мм,145 мм,718417,,,нет,60x90/16,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Разрезающий лабиринт,4.7,3.0,2125,АСТ,978-5-17-150383-3,твердый переплет,320.0,"пухлая, типографская",русский,2023.0,208 мм,133 мм,2697189,,,,84×108/32,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Полная Ж: жизнь как бизнес-проект,5.0,6.0,3781,АСТ,978-5-17-103930-1,твердый переплет,256.0,офсетная,русский,2017.0,216 мм,168 мм,998789,,,нет,70x90/16,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Обитель Апельсинового Дерева,4.9,7.0,5049,Азбука,978-5-389-17126-8,суперобложка,800.0,офсетная,русский,2021.0,215 мм,145 мм,1855649,,,нет,60x90/16,38 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Черная книга Гекаты. Обряды посвящения и раскрытия силы,5.0,4.0,3125,АСТ,978-5-17-146119-5,твердый переплет,256.0,офсетная,русский,2022.0,220 мм,145 мм,2585684,,,,60×90/16,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,П. Ш. #Новая жизнь. Обратного пути уже не будет!,4.9,23.0,3438,АСТ,978-5-17-102732-2,твердый переплет,432.0,газетная,русский,2017.0,220 мм,145 мм,847587,,,нет,60x90/16,35 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,В Стране невыученных уроков — 2,4.8,25.0,1108,Самовар,978-5-9781-0483-7,твердый переплет,81.0,,русский,2011.0,,,215767,,,нет,60x90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Лисьи броды,5.0,4.0,5468,РИПОЛ классик,978-5-386-14700-6,твердый переплет,720.0,офсетная,русский,2022.0,220 мм,172 мм,2524287,,,,70х90/16,38 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Зеленый король,4.7,15.0,4582,Попурри,"978-985-15-4945-6, 978-985-15-4656-1, 978-985-15-3728-6, 978-985-15-3483-4, 978-985-15-3306-6, 978-985-15-2727-0, 978-985-15-1681-6, 978-985-15-0279-6, 2-863-91444-8",твердый переплет,560.0,офсетная,русский,,135 мм,205 мм,21196,,,нет,,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Источник. Комплект из 2 книг,4.9,21.0,5460,Альпина Паблишер,"978-5-9614-6537-2, 978-5-9614-6014-8, 978-5-9614-4572-5, 978-5-9614-1911-5, 978-5-9614-1671-8, 978-5-9614-1521-6, 978-5-9614-1030-3, 978-5-9614-1202-4, 978-5-9614-1592-6, 978-5-9614-5514-4",твердый переплет,808.0,офсетная,русский,2021.0,215 мм,145 мм,181525,,5000 экземпляров,нет,60x90/16,44 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Спартак,4.6,9.0,1266,Азбука,978-5-389-15173-4,твердый переплет,448.0,газетная,русский,2021.0,200 мм,126 мм,1211725,,8000 экземпляров,нет,,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Косиног. История о колдовстве,5.0,9.0,4968,АСТ,978-5-17-139443-1,твердый переплет,480.0,офсетная,русский,2021.0,217 мм,145 мм,2230636,,,нет,60x90/16,35 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Французский без репетитора. Самоучитель французского языка,4.4,22.0,1082,Дом Славянской Книги,978-5-91503-198-1,мягкая обложка,320.0,газетная,русский,2023.0,,,234592,,2000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Стикеры-закладки,5.0,15.0,410,,,,,,,,,,2568032,,,,,,Феникс +,60594,,,,,,,Китай,"1,5 × 5,5 см ",ПЭТ-пакет,,,,,,,пластик,,,,125 шт. ,,"11 × 0,1 × 11,5 см",,,фигурная вырубка ,,,,,,,,,,,,,,,
612,Таро. Полное руководство по чтению карт и предсказательной практике,4.9,58.0,4262,Эксмо,978-5-04-088969-3,твердый переплет,608.0,офсетная,русский,2018.0,207 мм,138 мм,1091739,,,да,84x108/32,33 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Проклятые короны,,,3668,Like Book,978-5-04-190181-3,твердый переплет,480.0,офсетная,русский,2023.0,212 мм,138 мм,3053288,,,,60×90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Дело смотрительницы,,,1430,Эксмо,978-5-04-098590-6,мягкая обложка,256.0,газетная,русский,2018.0,167 мм,115 мм,1281635,,3000 экземпляров,нет,70x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Сёстры-ведьмы. Сестра луны,4.6,8.0,3300,Эксмо,978-5-04-119048-4,твердый переплет,512.0,офсетная,русский,2021.0,208 мм,134 мм,2031192,,3000 экземпляров,нет,84x108/32,32 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Скотный двор. Эссе,5.0,3.0,2469,АСТ,978-5-17-982463-3,твердый переплет,256.0,,русский,2017.0,,,911591,,,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,"Взрослые дети алкоголиков. Семья, работа, отношения",5.0,1.0,5202,Класс,978-5-86375-255-6,твердый переплет,368.0,,русский,2021.0,217 мм,154 мм,2577416,,,,,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,У любви на крючке,4.0,4.0,2316,Inspiria,978-5-04174-838-8,мягкая обложка,384.0,кремовый офсет,русский,2023.0,212 мм,140 мм,2854667,,,,60x90/16,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Статистические последствия жирных хвостов. О новых вычислительных подходах к принятию решений,,,7154,КоЛибри,978-5-389-19584-4,"суперобложка, твердый переплет",480.0,офсетная,русский,2023.0,242 мм,176 мм,3004050,,,,,32 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Капитал: Квинтэссенция всех томов «Капитала» в одной книге,4.8,13.0,1053,Азбука,978-5-389-09554-0,мягкая обложка,512.0,,русский,2018.0,180 мм,115 мм,1122155,,5000 экземпляров,нет,75x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Танатонавты,4.8,5.0,3443,Эксмо,978-5-04-116071-5,твердый переплет,608.0,офсетная,русский,2020.0,208 мм,133 мм,1872282,,4000 экземпляров,нет,84x108/32,35 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Я люблю раскрашивать готику,,,1481,Эксмодетство,978-5-04-186075-2,мягкая обложка,128.0,офсетная,русский,2023.0,156 мм,141 мм,3081845,,3000 экземпляров,,70×120/32,9 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Химия в уравнениях реакций. Учебное пособие,5.0,4.0,2528,Феникс,"978-5-222-38249-3, 978-5-222-37020-9, 978-5-222-34242-8, 978-5-222-32485-1, 978-5-222-31339-8, 978-5-222-30011-4, 978-5-222-28531-2, 978-5-222-26222-1, 978-5-222-22696-4, 978-5-222-27232-9",твердый переплет,333.0,газетная,русский,2023.0,206 мм,135 мм,486143,,3000 экземпляров,нет,84x108/32,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Я отпускаю тебя. Любовь без ожиданий,3.1,7.0,1994,Питер,978-5-4461-1948-6,мягкая обложка,160.0,типографская,русский,2023.0,180 мм,114 мм,2319538,,,нет,76×100/32,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Скорочтение для детей 6-9 лет. Как научить ребенка быстро читать и понимать прочитанное?,4.8,4.0,6339,Филипок и К,"978-5-6045141-6-0, 978-5-6042695-5-8, 978-5-6043608-4-2",твердый переплет,192.0,офсетная,русский,2021.0,250 мм,250 мм,1752853,,,нет,,,,,,,,,,,,,,,1-4 классы,чтение,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Смерть,5.0,2.0,4888,Эксмо,978-5-04-169864-5,твердый переплет,368.0,офсетная,русский,2023.0,218 мм,170 мм,2849528,,5000 экземпляров,,70x90/16,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Двадцать тысяч лье под водой,4.8,42.0,976,Азбука,978-5-389-05186-7,твердый переплет,480.0,газетная,русский,2021.0,205 мм,135 мм,305938,,,нет,,33 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Клитемнестра,,,3539,Эксмо,978-5-04185-748-6,твердый переплет,368.0,офсетная,русский,2023.0,241 мм,170 мм,3064380,,,,70x100/16,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Последний гамбит,4.9,13.0,3313,Like Book,978-5-04-182055-8,твердый переплет,416.0,офсетная,русский,2023.0,200 мм,138 мм,2811888,,,,60x84/16,28 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Сладкая соль Босфора,3.8,22.0,3438,АСТ,978-5-17-093280-1,твердый переплет,288.0,офсетная,русский,2015.0,205 мм,133 мм,567883,,,нет,84x108/32,19 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Активити-блокнот. Гравити Фолз. С нами не соскучишься!,5.0,9.0,1950,Эксмо,978-5-699-92686-2,мягкая обложка,96.0,офсетная,русский,2018.0,210 мм,138 мм,1136925,,,нет,60x90/16,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Красная Шапочка,4.8,13.0,2906,АСТ,978-5-17-122192-8,твердый переплет,512.0,газетная,русский,2020.0,205 мм,132 мм,1861283,,6000 экземпляров,нет,84x108/32,41 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Закон притяжения. Основы учения Абрахама,5.0,3.0,2420,Весь,"978-5-9573-2234-4, 978-5-9573-1173-7",мягкая обложка,256.0,газетная,русский,2022.0,200 мм,125 мм,599019,,2000 экземпляров,нет,84×108/32,10 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Маленькая хозяйка большого дома. Уровень 3,4.9,7.0,933,АСТ,978-5-17-106135-7,мягкая обложка,160.0,офсетная,"русский, английский",2018.0,198 мм,124 мм,1091221,,,нет,84x108/32,9 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Малефисента. История тёмной феи,5.0,1.0,2639,Эксмо,978-5-04-105597-4,твердый переплет,320.0,офсетная,русский,2019.0,200 мм,125 мм,1494005,,,нет,84x108/32,22 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Дневник памяти,4.9,10.0,2469,АСТ,978-5-17-107279-7,твердый переплет,256.0,газетная,русский,2018.0,186 мм,123 мм,1151091,,7000 экземпляров,нет,76x100/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,"Деньги, успех и Вы",3.8,4.0,3066,Попурри,"978-985-15-4818-3, 978-985-15-4187-0, 978-985-15-3797-2",мягкая обложка,240.0,,русский,2019.0,215 мм,140 мм,1257192,,,нет,60x90/16,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Бременские музыканты. На английском языке. 3 уровень.,5.0,1.0,566,Айрис-пресс,978-5-8112-7817-6,мягкая обложка,32.0,,английский,2022.0,210 мм,163 мм,2438523,,,,,3 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Дарий великий заслуживает большего,5.0,2.0,2760,Popcorn Books,978-5-6046532-9-6,мягкая обложка,368.0,,русский,2022.0,,,2383616,,,,60х90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Годовой курс занятий: для детей 5-6 лет (с наклейками),4.8,47.0,4214,Эксмо,978-5-699-73957-8,интегральный переплет,224.0,офсетная,русский,2017.0,288 мм,210 мм,517024,,,нет,60x84/8,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Карты метафорические ассоциативные «Я и мои деньги. Игра в жизнь»,4.5,6.0,18912,,,,,,,,,,2127005,,,,,,,22880003,,,,,,,Казахстан,,картонная коробка,,,,Reshar Biz,,,картон,,унисекс,,,от 18 лет,"12 × 15 × 3,5 см",,,,от 20 мин.,4,"подарок, инструкция, 96 карт",,,,,,,,,,,,
642,Счастливая смерть,5.0,1.0,1250,АСТ,978-5-17-137325-2,мягкая обложка,160.0,офсетная,русский,2021.0,180 мм,115 мм,2152416,,,нет,76x100/32,9 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Карьера менеджера,5.0,1.0,5850,Попурри,978-985-15-5030-8,твердый переплет,528.0,офсетная,русский,2022.0,217 мм,145 мм,2290569,,,нет,,27 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Фиалки по средам,5.0,1.0,1078,Азбука,"978-5-389-17783-3, 978-5-389-17138-1",мягкая обложка,480.0,газетная,русский,2022.0,115 мм,180 мм,2218108,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Зачетная тетрадь. Тематический контроль знаний учащихся. Математика. 3 класс. ФГОС,5.0,11.0,1092,ИП Лакоценина,"978-5-905311-05-5, 978-5-905311-05-5 ",мягкая обложка,112.0,офсетная,русский,2017.0,240 мм,168 мм,339161,,,нет,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Говори с собой правильно. Как справиться с внутренним критиком и стать увереннее,5.0,1.0,5044,Феникс,"978-5-222-39096-2, 978-5-222-37706-2, 978-5-222-36485-7",твердый переплет,230.0,офсетная,русский,2023.0,215 мм,169 мм,2239900,,,,70×90/16,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Когда приходит шторм,,,3668,Эксмо,978-5-04-178781-3,мягкая обложка,448.0,"офсетная, пухлая",русский,2023.0,190 мм,116 мм,3004782,,,,60x90/16,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Живи легко!,5.0,56.0,3313,Эксмо,978-5-699-50005-5,твердый переплет,208.0,офсетная,русский,2011.0,,,206194,,6000 экземпляров,нет,70x90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Твоя капля крови,5.0,1.0,3217,Popcorn Books,978-5-6048362-9-3,мягкая обложка,704.0,пухлая,русский,2023.0,210 мм,147 мм,3005173,,7000 экземпляров,,60×90/16,57 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Вино из одуванчиков,4.9,9.0,1332,Эксмо,978-5-04-088561-9,мягкая обложка,352.0,,русский,2017.0,115 мм,180 мм,944966,,,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,Внутренняя опора. В любой ситуации возвращайтесь к себе,4.9,31.0,2614,"Манн, Иванов и Фербер",978-5-00195-731-7,твердый переплет,240.0,офсетная,русский,2022.0,214 мм,147 мм,2598733,,,,60x88/16,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Scrum. Революционный метод управления проектами,4.8,26.0,4457,"Манн, Иванов и Фербер","978-5-00057-722-6, 978-5-00100-424-0",твердый переплет,288.0,,русский,2015.0,240 мм,170 мм,587432,,2000 экземпляров,нет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Четыре жизни Хелен Ламберт,,,2583,Эксмо,978-5-04-164802-2,мягкая обложка,544.0,"офсетная, пухлая",русский,2023.0,201 мм,125 мм,2909007,,3000 экземпляров,,84×108/32,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Как победить бессонницу? Здоровый сон за 6 недель,5.0,4.0,4666,Прогресс книга,978-5-4461-1568-6,твердый переплет,288.0,,русский,2021.0,208 мм,133 мм,1590935,,,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,ХОХО. Целую. Обнимаю,5.0,2.0,2564,АСТ,978-5-17-145990-1,мягкая обложка,336.0,типографская,русский,2022.0,214 мм,139 мм,2391422,,,,60x90/16,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Государь,5.0,6.0,1127,Эксмо,978-5-04-157794-0,твердый переплет,160.0,газетная,русский,2022.0,210 мм,135 мм,2209128,,3000 экземпляров,нет,84x108/32,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Кофейня,5.0,2.0,2564,АСТ,978-5-17-136876-0,твердый переплет,288.0,офсетная,русский,2021.0,207 мм,133 мм,2047799,,5000 экземпляров,нет,84x108/32,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,Поллианна. Поллианна вырастает,4.9,17.0,1145,АСТ,978-5-17-135745-0,мягкая обложка,512.0,газетная,русский,2021.0,180 мм,115 мм,2035343,,5000 экземпляров,нет,76x100/32,23 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Внеклассное чтение. 3 класс,5.0,14.0,1108,Самовар,978-5-9781-1017-3,твердый переплет,112.0,,русский,2015.0,,,607356,,25000 экземпляров,нет,60x90/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Кармический менеджмент. Эффект бумеранга в бизнесе и в жизни,5.0,2.0,1894,АСТ,978-5-17-150055-9,мягкая обложка,288.0,офсетная,русский,2022.0,185 мм,120 мм,2492296,,,,,17 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Лампа настольная Black Swan,5.0,1.0,31992,,,,,,,,,,2977007,,,,,,,540-DL,,,,,,,Китай,,,,,,,,черный,пластик,,,,,,31 × 21 × 15 см,,,,,,,LED,3.0,"3000К, 5500K",430 Лм,7 Вт,,,,,,,
662,Психология масс и анализ человеческого «я»,4.0,11.0,958,АСТ,978-5-17-107831-7,мягкая обложка,320.0,офсетная,русский,2018.0,179 мм,115 мм,1151090,,7000 экземпляров,нет,76x100/32,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Книжный вор,4.8,26.0,2079,Эксмо,978-5-04-115626-8,твердый переплет,512.0,типографская,русский,2021.0,208 мм,136 мм,1915241,,10000 экземпляров,нет,84x108/32,26 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,День триффидов,4.7,29.0,1389,АСТ,978-5-17-095526-8,мягкая обложка,320.0,офсетная,русский,2016.0,,,662394,,,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Твои границы. Как сохранить личное пространство и обрести внутреннюю свободу,4.4,7.0,3419,"Манн, Иванов и Фербер",978-5-00169-684-1,твердый переплет,288.0,,русский,2021.0,208 мм,134 мм,2078415,,,нет,,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
